role,pair_id,chunk_size_chars,overlap_chars,chunk_id,joint_evidence_preserved,cosine_to_query,pc1,pc2
joint_evidence,wm03,1024,64,chunk-ablation-wm03#chunk-000,True,0.598454,0.14160678,0.01782985
joint_evidence,wm04,1024,64,chunk-ablation-wm04#chunk-000,True,0.54369068,0.15011464,-0.00523992
joint_evidence,wm05,1024,64,chunk-ablation-wm05#chunk-000,True,0.55121094,0.16570202,0.02663903
joint_evidence,wm06,1024,64,chunk-ablation-wm06#chunk-000,True,0.55994487,0.16803874,0.10298642
joint_evidence,wm07,1024,64,chunk-ablation-wm07#chunk-000,True,0.50337458,0.18905601,0.03666499
joint_evidence,wm08,1024,64,chunk-ablation-wm08#chunk-000,True,0.51538181,0.18429378,0.07105341
joint_evidence,wm09,1024,64,chunk-ablation-wm09#chunk-000,True,0.51824152,0.18047298,0.02779165
joint_evidence,wm10,1024,64,chunk-ablation-wm10#chunk-000,True,0.53146452,0.17716424,0.03552965
trigger_fragment,wm11,1024,64,chunk-ablation-wm11#chunk-000,False,0.57445252,0.17224516,0.05405086
code_fragment,wm11,1024,64,chunk-ablation-wm11#chunk-001,False,0.54811102,-0.04678379,-0.33157203
joint_evidence,wm12,1024,64,chunk-ablation-wm12#chunk-001,True,0.65195358,-0.02223051,-0.08198437
joint_evidence,wm13,1024,64,chunk-ablation-wm13#chunk-001,True,0.59915358,0.08375853,-0.03968089
joint_evidence,wm14,1024,64,chunk-ablation-wm14#chunk-001,True,0.65505439,0.11333844,0.02890944
joint_evidence,wm15,1024,64,chunk-ablation-wm15#chunk-001,True,0.59155172,0.16792735,0.00304535
joint_evidence,wm16,1024,64,chunk-ablation-wm16#chunk-001,True,0.61254531,0.15328446,0.03002394
joint_evidence,wm17,1024,64,chunk-ablation-wm17#chunk-001,True,0.57503223,0.11362652,-0.00199522
joint_evidence,wm18,1024,64,chunk-ablation-wm18#chunk-001,True,0.58994502,0.10559843,0.03741701
joint_evidence,wm19,1024,64,chunk-ablation-wm19#chunk-001,True,0.54354173,0.15266924,-0.00445052
