chunk_size_chars,overlap_chars,corpus_chunk_count,retriever,condition,sample_count,joint_evidence_preservation_rate,mean_joint_evidence_copy_count,target_mrr_all_pairs,target_mrr_preserved_only,median_target_rank_preserved_only,target_hit_at_1_all_pairs,target_hit_at_1_preserved_only,target_hit_at_5_all_pairs,target_hit_at_5_preserved_only,target_hit_at_10_all_pairs,target_hit_at_10_preserved_only,target_hit_at_20_all_pairs,target_hit_at_20_preserved_only
512,0,85,qwen3_reranker,trigger_only,20,0.7,0.7,0.283333,0.404762,2.0,0,0,0.65,0.928571,0.7,1,0.7,1
512,0,85,qwen3_reranker,verification,20,0.7,0.7,0.7,1.0,1.0,0.7,1,0.7,1,0.7,1,0.7,1
512,64,85,bm25,normal,20,0.85,0.85,0.069202,0.081414,16,0,0,0,0,0.25,0.294118,0.7,0.823529
512,64,85,bm25,trigger_only,20,0.85,0.85,0.203333,0.239216,5,0,0,0.65,0.764706,0.85,1,0.85,1
512,64,85,bm25,verification,20,0.85,0.85,0.85,1.0,1,0.85,1,0.85,1,0.85,1,0.85,1
512,64,85,dense,normal,20,0.85,0.85,0.053719,0.063199,18,0,0,0,0,0.15,0.176471,0.55,0.647059
512,64,85,dense,trigger_only,20,0.85,0.85,0.232917,0.27402,5,0,0,0.55,0.647059,0.85,1,0.85,1
512,64,85,dense,verification,20,0.85,0.85,0.480893,0.565756,2,0.35,0.411765,0.6,0.705882,0.8,0.941176,0.85,1
512,64,85,rrf_hybrid,normal,20,0.85,0.85,0.065366,0.076902,15,0,0,0,0,0.25,0.294118,0.7,0.823529
512,64,85,rrf_hybrid,trigger_only,20,0.85,0.85,0.240833,0.283333,5,0,0,0.7,0.823529,0.85,1,0.85,1
512,64,85,rrf_hybrid,verification,20,0.85,0.85,0.725,0.852941,1,0.65,0.764706,0.85,1,0.85,1,0.85,1
512,64,85,qwen3_reranker,normal,20,0.85,0.85,0.063982,0.075273,14.0,0,0,0,0,0.3,0.352941,0.7,0.823529
512,64,85,qwen3_reranker,trigger_only,20,0.85,0.85,0.341667,0.401961,2,0,0,0.8,0.941176,0.85,1,0.85,1
512,64,85,qwen3_reranker,verification,20,0.85,0.85,0.85,1.0,1,0.85,1,0.85,1,0.85,1,0.85,1
512,128,105,bm25,normal,20,1,1,0.069398,0.069398,17.5,0,0,0,0,0.2,0.2,0.65,0.65
512,128,105,bm25,trigger_only,20,1,1,0.211667,0.211667,5.0,0,0,0.65,0.65,1,1,1,1
512,128,105,bm25,verification,20,1,1,0.975,0.975,1.0,0.95,0.95,1,1,1,1,1,1
512,128,105,dense,normal,20,1,1,0.055957,0.055957,21.5,0,0,0,0,0.1,0.1,0.45,0.45
512,128,105,dense,trigger_only,20,1,1,0.3175,0.3175,3.5,0,0,0.9,0.9,1,1,1,1
512,128,105,dense,verification,20,1,1,0.7075,0.7075,1.5,0.5,0.5,1,1,1,1,1,1
512,128,105,rrf_hybrid,normal,20,1,1,0.072829,0.072829,18.5,0,0,0,0,0.3,0.3,0.55,0.55
512,128,105,rrf_hybrid,trigger_only,20,1,1,0.28,0.28,4.0,0,0,0.8,0.8,1,1,1,1
512,128,105,rrf_hybrid,verification,20,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1
512,128,105,qwen3_reranker,normal,20,1,1,0.046815,0.046815,16,0,0,0,0,0.15,0.15,0.55,0.55
512,128,105,qwen3_reranker,trigger_only,20,1,1,0.3725,0.3725,3.0,0,0,0.95,0.95,1,1,1,1
512,128,105,qwen3_reranker,verification,20,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1
1024,0,45,bm25,normal,20,0.9,0.9,0.066704,0.074116,15.5,0,0,0,0,0.15,0.166667,0.6,0.666667
1024,0,45,bm25,trigger_only,20,0.9,0.9,0.205833,0.228704,5.0,0,0,0.65,0.722222,0.9,1,0.9,1
1024,0,45,bm25,verification,20,0.9,0.9,0.9,1.0,1.0,0.9,1,0.9,1,0.9,1,0.9,1
1024,0,45,dense,normal,20,0.9,0.9,0.057357,0.06373,19.5,0,0,0,0,0.15,0.166667,0.55,0.611111
1024,0,45,dense,trigger_only,20,0.9,0.9,0.201111,0.223457,4.5,0,0,0.65,0.722222,0.85,0.944444,0.9,1
1024,0,45,dense,verification,20,0.9,0.9,0.491667,0.546296,3.0,0.3,0.333333,0.85,0.944444,0.85,0.944444,0.9,1
1024,0,45,rrf_hybrid,normal,20,0.9,0.9,0.059727,0.066363,17.5,0,0,0,0,0.15,0.166667,0.5,0.555556
1024,0,45,rrf_hybrid,trigger_only,20,0.9,0.9,0.209167,0.232407,4.0,0,0,0.65,0.722222,0.9,1,0.9,1
1024,0,45,rrf_hybrid,verification,20,0.9,0.9,0.86,0.955556,1.0,0.85,0.944444,0.9,1,0.9,1,0.9,1
1024,0,45,qwen3_reranker,normal,20,0.9,0.9,0.048087,0.05343,10.5,0,0,0,0,0.25,0.277778,0.5,0.555556
1024,0,45,qwen3_reranker,trigger_only,20,0.9,0.9,0.3475,0.386111,2.5,0,0,0.85,0.944444,0.9,1,0.9,1
1024,0,45,qwen3_reranker,verification,20,0.9,0.9,0.9,1.0,1.0,0.9,1,0.9,1,0.9,1,0.9,1
1024,64,45,bm25,normal,20,0.95,0.95,0.072884,0.07672,16,0,0,0,0,0.2,0.210526,0.65,0.684211
1024,64,45,bm25,trigger_only,20,0.95,0.95,0.211667,0.222807,5,0,0,0.7,0.736842,0.95,1,0.95,1
1024,64,45,bm25,verification,20,0.95,0.95,0.95,1.0,1,0.95,1,0.95,1,0.95,1,0.95,1
1024,64,45,dense,normal,20,0.95,0.95,0.070062,0.07375,20,0,0,0.05,0.052632,0.25,0.263158,0.55,0.578947
1024,64,45,dense,trigger_only,20,0.95,0.95,0.257879,0.271451,4,0,0,0.7,0.736842,0.9,0.947368,0.95,1
1024,64,45,dense,verification,20,0.95,0.95,0.613472,0.64576,1,0.5,0.526316,0.75,0.789474,0.95,1,0.95,1
1024,64,45,rrf_hybrid,normal,20,0.95,0.95,0.071728,0.075503,20,0,0,0.05,0.052632,0.2,0.210526,0.6,0.631579
