chunk_size_chars,overlap_chars,joint_evidence_count,fragment_point_count,mean_joint_cosine_to_query,mean_fragment_cosine_to_query,mean_joint_pca_distance_to_query
256,0,10,20,0.669675,0.586046,0.700637
256,64,13,14,0.696553,0.607178,0.681892
256,128,19,2,0.674355,0.651213,0.696823
512,0,14,12,0.575897,0.558924,0.819877
512,64,17,6,0.610828,0.562489,0.781997
512,128,20,0,0.63164,,0.775462
1024,0,18,4,0.544779,0.552292,0.862958
1024,64,19,2,0.574852,0.561282,0.834058
1024,128,20,0,0.5722,,0.838128
